"id_ubicacion","barrio","comuna"
1,Constitución,1
2,Monserrat,1
3,Puerto Madero,1
4,Retiro,1
5,San Nicolás,1
6,San Telmo,1
7,Recoleta,2
8,Balvanera,3
9,San Cristóbal,3
10,Barracas,4
11,Boca,4
13,Nueva Pompeya,4
14,Parque Patricios,4
15,Almagro,5
16,Boedo,5
19,Caballito,6
20,Flores,7
21,Parque Chacabuco,7
22,Villa Lugano,8
23,Villa Riachuelo,8
24,Villa Soldati,8
25,Liniers,9
26,Mataderos,9
27,Parque Avellaneda,9
28,Floresta,10
29,Monte Castro,10
30,Vélez Sarsfield,10
31,Versalles,10
32,Villa Luro,10
33,Villa Real,10
34,Villa del Parque,11
35,Villa Devoto,11
36,Villa Gral. Mitre,11
37,Villa Santa Rita,11
38,Coghlan,12
39,Saavedra,12
40,Villa Pueyrredón,12
41,Villa Urquiza,12
42,Belgrano,13
43,Colegiales,13
44,Núñez,13
45,Palermo,14
46,Agronomía,15
47,Chacarita,15
48,Parque Chas,15
49,Paternal,15
50,Villa Crespo,15
52,Villa Ortuzar,15
